Country,Institution,Domain
Albania,RASH,rash.al
Armenia,ASNET-AM,asnet.am
Austria,ACOnet,aco.net
Azerbaijan,ANAS,ict.az
Belgium,Belnet,belnet.be
Bulgaria,BREN,bren.bg
Croatia,CARNET,carnet.hr
Cyprus,CYNET,cynet.ac.cy
Czech,CESNET,cesnet.cz
Estonia,EENet of HTM,eenet.ee
France,RENATER,renater.fr
Georgia,GRENA,grena.ge
Germany,DFN,dfn.de
Greece,GRNET,grnet.gr
Hungary,Pro-M,kifu.gov.hu
Ireland,HEAnet,heanet.ie
Israel,IUCC,iucc.ac.il
Italy,GARR,garr.it
Latvia,IMCS-UL,lumii.lv
Lithuania,LITNET,litnet.lt
Luxembourg,Restena,restena.lu
North Macedonia,MARnet,marnet.mk
Malta,University of Malta,um.edu.mt
Moldova,RENAM,renam.md
Netherlands,SURF,surf.nl
Poland,PSNC,psnc.pl
Portugal,FCT | FCCN,fccn.pt
Romania,RoEduNet,nren.ro
Serbia,AMRES,amres.rs
Slovakia, SANET,sanet.sk
Slovenia,ARNES,arnes.si
Spain,RedIRIS,rediris.es
Sweden,Sunet,sunet.se
Switzerland,SWITCH,switch.ch
United Kingdom,Jisc,jisc.ac.uk
Finland,CSC/FUNET,csc.fi
Norway,Sikt,sikt.no
Denmark,DeiC,deic.dk
Iceland,Rhnet,rhnet.is
Nordic region,NORDUnet,nordu.net
Europe,GÉANT,geant.org
